J1 [rad],J2 [rad],J3 [rad],J4 [rad],J5 [rad],J6 [rad],,Electrical Power [W],,J1 [W], J2 [W],J3 [W],J4 [W],J5 [W],J6 [W]
-0.287907037,0.457004451,-0.131776608,-0.012461453,1.895681431,1.120763179,,798.787933,,335.0692804,255.2909875,201.2315748,0.143087764,7.053002557,0
-0.309045032,0.44854986,-0.107834026,-0.012279222,1.911188852,1.197873571,,775.842632,,339.3062652,237.9768227,191.264531,0.146289611,7.148723451,0
-0.330888151,0.440059026,-0.083942656,-0.01209122,1.92660873,1.277437895,,750.397933,,342.3723466,219.6766593,181.0199739,0.149736621,7.17921654,0
-0.353417583,0.431555553,-0.060180969,-0.011897641,1.941886127,1.359765076,,722.8083868,,344.2497679,200.6214433,170.6375269,0.153405376,7.146243263,0
-0.376613143,0.423062762,-0.036626386,-0.011698686,1.956966878,1.444191888,,693.4262085,,344.9219148,181.0468077,160.2471165,0.157266902,7.053102601,0
-0.400453339,0.41460356,-0.013354833,-0.01149457,1.971797897,1.53041988,,662.5952617,,344.3726484,161.1893311,149.967547,0.161288228,6.904446931,0
-0.424915435,0.406200304,0.009559682,-0.011285521,1.986327468,1.6181506,,630.6456289,,342.5859515,141.282778,139.905412,0.165434198,6.706053305,0
-0.449975518,0.397874667,0.032045507,-0.011071774,2.000505552,1.707226969,,597.8888412,,339.5459193,121.5543817,130.1543094,0.169669429,6.464561237,0
-0.475608559,0.389647505,0.054033779,-0.010853575,2.014284079,1.797113171,,564.613823,,335.2371101,102.2212358,120.7943276,0.173960342,6.187189171,0
-0.501788479,0.381538724,0.075458853,-0.01063118,2.027617254,1.887521226,,531.0835908,,329.6452457,83.48685748,111.8917681,0.178277168,5.881442305,0
-0.528488214,0.373567143,0.096258737,-0.010404852,2.040461849,1.978138721,,497.5327242,,322.7582384,65.53799023,103.4990753,0.182595834,5.554824428,0
-0.555679777,0.365750364,0.116375526,-0.010174864,2.05277751,2.068791122,,464.1656175,,314.5674939,48.54170869,95.6549494,0.186899653,5.214565862,0
-0.583334324,0.358104636,0.135755831,-0.009941495,2.064527049,2.15942607,,431.1555038,,305.0694297,32.64288684,88.38462796,0.191180752,4.867378587,0
-0.611422219,0.350644721,0.154351215,-0.009705031,2.075676748,2.250078472,,398.6442384,,294.2671295,17.96208725,81.70033229,0.195441178,4.519248231,0
-0.639913096,0.343383759,0.172118626,-0.009465764,2.086196656,2.340730873,,366.7428209,,282.172049,4.593923125,75.60188419,0.199693669,4.175270936,0
-0.668775924,0.336333138,0.189020827,-0.009223991,2.09606089,2.431365821,,350.3303341,,268.8056809,7.403639771,70.07751013,0.203962062,3.839541191,0
-0.697979075,0.329502357,0.205026831,-0.008980015,2.105247931,2.522018222,,341.0517583,,254.2010895,18.02243344,65.10485926,0.208281354,3.515094721,0
-0.727490382,0.322898893,0.22011233,-0.008734142,2.113740928,2.61265317,,329.7184466,,238.4042296,27.2453415,60.6522696,0.212697434,3.203908471,0
-0.757277208,0.316528066,0.234260135,-0.008486684,2.121527991,2.703305572,,316.3580581,,221.474977,35.07853314,56.68032387,0.21726652,2.906957623,0
-0.787306508,0.310392907,0.247460601,-0.008237954,2.128602497,2.793957973,,301.0317846,,203.4878079,41.55385413,53.14374069,0.222054343,2.624327623,0
-0.817544894,0.304494024,0.259712063,-0.007988267,2.134963384,2.884592921,,283.8353725,,184.5320864,46.72712326,49.99365049,0.227135125,2.355377233,0
-0.847958702,0.298829464,0.271021272,-0.007737942,2.140615452,2.975245323,,264.8995885,,164.7119348,50.67580963,47.18030681,0.23259039,2.098946845,0
